Year,Mortgage_Rate,Consumer_Inflation_Rate
2011.8333333333333,4.07,3.5222681306640524
2011.9166666666667,3.99,3.451432214581729
2012.0,3.96,3.062066838419386
2012.0833333333333,3.92,3.0087663379855023
2012.1666666666667,3.89,2.8981784423473878
2012.25,3.95,2.5828752813320977
2012.3333333333333,3.91,2.2731633741348567
2012.4166666666667,3.8,1.7379429374660749
2012.5,3.68,1.653870448297634
2012.5833333333333,3.55,1.4175114798464783
2012.6666666666667,3.6,1.6859349154821235
2012.75,3.5,1.9497168982819613
2012.8333333333333,3.38,2.1556780595369363
2012.9166666666667,3.35,1.7960197033926262
2013.0,3.35,1.7595049796895523
2013.0833333333333,3.41,1.684061762098299
2013.1666666666667,3.53,2.0181404902574807
2013.25,3.57,1.5187472411246183
2013.3333333333333,3.45,1.138808047576867
2013.4166666666667,3.54,1.3903888279197085
2013.5,4.07,1.7157935271568725
2013.5833333333333,4.37,1.885471805415806
2013.6666666666667,4.46,1.538809488600279
2013.75,4.49,1.0947341081747997
2013.8333333333333,4.19,0.8767991434911471
2013.9166666666667,4.26,1.2328701961954458
2014.0,4.46,1.5128383667573297
2014.0833333333333,4.43,1.557758795574915
2014.1666666666667,4.3,1.1204746347724948
2014.25,4.34,1.6126949139408042
2014.3333333333333,4.34,2.015125303606169
2014.4166666666667,4.19,2.166947687079812
2014.5,4.16,2.0589816945944195
2014.5833333333333,4.13,1.9742378703305974
2014.6666666666667,4.12,1.7150983482969062
2014.75,4.16,1.6840509711232077
2014.8333333333333,4.04,1.6095417021513292
2014.9166666666667,4.0,1.231524989320798
2015.0,3.86,0.6531213919623191
2015.0833333333333,3.71,-0.22993097820542818
2015.1666666666667,3.71,-0.08703146293520536
2015.25,3.77,-0.022031284423873476
2015.3333333333333,3.67,-0.10403098939391064
2015.4166666666667,3.84,0.03503321824429584
2015.5,3.98,0.1795718097550525
2015.5833333333333,4.05,0.22568611104094582
2015.6666666666667,3.91,0.2413037985344868
2015.75,3.89,0.008842961634170088
2015.8333333333333,3.8,0.12761656067050708
